genre,rang,movieId,title,nb_votes,note_moyenne
Action,1,2959,Fight Club (1999),218,4.27
Action,2,58559,"Dark Knight, The (2008)",149,4.24
Action,3,260,Star Wars: Episode IV - A New Hope (1977),251,4.23
Adventure,1,260,Star Wars: Episode IV - A New Hope (1977),251,4.23
Adventure,2,1197,"Princess Bride, The (1987)",142,4.23
Adventure,3,1196,Star Wars: Episode V - The Empire Strikes Back (1980),211,4.22
Animation,1,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),87,4.16
Animation,2,78499,Toy Story 3 (2010),55,4.11
Animation,3,60069,WALL·E (2008),104,4.06
Children,1,78499,Toy Story 3 (2010),55,4.11
Children,2,60069,WALL·E (2008),104,4.06
Children,3,1148,Wallace & Gromit: The Wrong Trousers (1993),56,4.04
Comedy,1,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97,4.27
Comedy,2,1197,"Princess Bride, The (1987)",142,4.23
Comedy,3,296,Pulp Fiction (1994),307,4.2
Crime,1,318,"Shawshank Redemption, The (1994)",317,4.43
Crime,2,858,"Godfather, The (1972)",192,4.29
Crime,3,2959,Fight Club (1999),218,4.27
Documentary,1,5669,Bowling for Columbine (2002),58,3.78
Documentary,2,8464,Super Size Me (2004),50,3.51
Drama,1,318,"Shawshank Redemption, The (1994)",317,4.43
Drama,2,858,"Godfather, The (1972)",192,4.29
Drama,3,2959,Fight Club (1999),218,4.27
Fantasy,1,1197,"Princess Bride, The (1987)",142,4.23
Fantasy,2,1199,Brazil (1985),59,4.18
Fantasy,3,1136,Monty Python and the Holy Grail (1975),136,4.16
Film-Noir,1,1252,Chinatown (1974),59,4.21
Film-Noir,2,1617,L.A. Confidential (1997),97,4.06
Film-Noir,3,32587,Sin City (2005),84,3.86
Horror,1,593,"Silence of the Lambs, The (1991)",279,4.16
Horror,2,1258,"Shining, The (1980)",109,4.08
Horror,3,1219,Psycho (1960),83,4.04
IMAX,1,58559,"Dark Knight, The (2008)",149,4.24
IMAX,2,78499,Toy Story 3 (2010),55,4.11
IMAX,3,79132,Inception (2010),143,4.07
Musical,1,364,"Lion King, The (1994)",172,3.94
Musical,2,1035,"Sound of Music, The (1965)",64,3.94
Musical,3,1028,Mary Poppins (1964),71,3.89
Mystery,1,904,Rear Window (1954),84,4.26
Mystery,2,50,"Usual Suspects, The (1995)",204,4.24
Mystery,3,1252,Chinatown (1974),59,4.21
Romance,1,912,Casablanca (1942),100,4.24
Romance,2,1197,"Princess Bride, The (1987)",142,4.23
Romance,3,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",120,4.18
Sci-Fi,1,260,Star Wars: Episode IV - A New Hope (1977),251,4.23
Sci-Fi,2,1196,Star Wars: Episode V - The Empire Strikes Back (1980),211,4.22
Sci-Fi,3,2571,"Matrix, The (1999)",278,4.19
Thriller,1,2959,Fight Club (1999),218,4.27
Thriller,2,904,Rear Window (1954),84,4.26
Thriller,3,48516,"Departed, The (2006)",107,4.25
War,1,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97,4.27
War,2,527,Schindler's List (1993),220,4.23
War,3,1208,Apocalypse Now (1979),107,4.22
Western,1,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",72,4.15
Western,2,99114,Django Unchained (2012),71,3.94
Western,3,3671,Blazing Saddles (1974),62,3.94
