movieId,nb_votes,note_moyenne
318,317,4.43
858,192,4.29
2959,218,4.27
750,97,4.27
1276,57,4.27
1221,129,4.26
904,84,4.26
1213,126,4.25
48516,107,4.25
50,204,4.24
58559,149,4.24
912,100,4.24
260,251,4.23
527,220,4.23
1197,142,4.23
1196,211,4.22
2329,129,4.22
1208,107,4.22
1198,200,4.21
1252,59,4.21
296,307,4.2
1193,133,4.2
1089,131,4.2
2571,278,4.19
4973,120,4.18
1225,76,4.18
1199,59,4.18
908,57,4.18
356,329,4.16
593,279,4.16
1136,136,4.16
7361,131,4.16
4011,93,4.16
5618,87,4.16
2028,188,4.15
3147,111,4.15
2324,88,4.15
6016,75,4.15
1201,72,4.15
1203,57,4.15
1210,196,4.14
68157,88,4.14
7153,185,4.12
608,181,4.12
4226,159,4.12
1207,58,4.12
4993,198,4.11
111,104,4.11
78499,55,4.11
541,124,4.1
1222,102,4.1
2502,94,4.09
1704,141,4.08
1258,109,4.08
79132,143,4.07
2858,204,4.06
60069,104,4.06
1617,97,4.06
1247,79,4.06
1291,140,4.05
2542,67,4.05
112852,59,4.05
1270,171,4.04
778,102,4.04
1219,83,4.04
923,69,4.04
81845,58,4.04
1148,56,4.04
1215,51,4.04
110,237,4.03
6711,74,4.03
903,60,4.03
953,58,4.03
5952,188,4.02
293,133,4.02
74458,67,4.02
1288,66,4.02
116797,50,4.02
1387,91,4.01
1259,91,4.01
48780,90,4.01
8874,77,4.01
910,50,4.01
4995,123,4.0
1206,120,4.0
68954,105,4.0
2692,75,4.0
51255,61,4.0
457,190,3.99
91529,76,3.99
109487,73,3.99
1278,69,3.99
1394,58,3.99
47,203,3.98
32,177,3.98
4878,109,3.98
1234,64,3.98
1090,63,3.98
589,224,3.97
1214,146,3.97
6502,58,3.97
2804,55,3.97
6377,141,3.96
6874,131,3.96
1200,126,3.96
1246,86,3.96
6,102,3.95
2997,99,3.95
1653,86,3.95
48774,64,3.95
364,172,3.94
3578,170,3.94
1265,143,3.94
49272,81,3.94
99114,71,3.94
2194,65,3.94
1035,64,3.94
3671,62,3.94
1304,62,3.94
76093,53,3.94
34405,50,3.94
1080,89,3.93
16,82,3.93
4262,67,3.93
1,215,3.92
5989,115,3.92
1732,106,3.92
3949,96,3.92
1079,71,3.92
106782,54,3.92
8368,93,3.91
88125,50,3.91
1240,131,3.9
4034,70,3.9
55820,64,3.9
7143,62,3.9
2762,179,3.89
924,109,3.89
44191,100,3.89
1028,71,3.89
69844,58,3.89
80463,57,3.89
33166,50,3.89
919,92,3.88
1356,91,3.88
46578,77,3.88
71535,53,3.88
4306,170,3.87
4886,132,3.87
1073,119,3.87
7438,110,3.87
1610,90,3.87
3897,83,3.87
50872,72,3.87
89745,69,3.87
1230,58,3.87
1036,145,3.86
33794,116,3.86
223,104,3.86
3114,97,3.86
2791,87,3.86
1307,85,3.86
32587,84,3.86
2700,76,3.86
68358,59,3.86
54001,58,3.86
54503,55,3.86
150,201,3.85
73017,58,3.85
30707,52,3.85
590,164,3.84
8961,125,3.84
4963,119,3.84
3996,110,3.84
2918,109,3.84
36,67,3.84
2947,53,3.84
4848,51,3.84
7147,69,3.83
1954,64,3.83
122904,54,3.83
2078,53,3.83
3552,52,3.83
5418,112,3.82
59315,94,3.82
40815,71,3.82
553,65,3.82
1682,125,3.81
1961,96,3.81
4027,94,3.81
1220,84,3.81
48394,81,3.81
63082,71,3.81
4239,51,3.81
96079,50,3.81
5010,50,3.81
8636,79,3.8
555,65,3.8
2529,56,3.8
1997,53,3.8
588,183,3.79
8665,75,3.79
3535,59,3.79
6942,59,3.79
2268,57,3.79
4776,51,3.79
6539,149,3.78
2716,120,3.78
1968,113,3.78
2396,92,3.78
17,67,3.78
70286,65,3.78
5669,58,3.78
1282,53,3.78
109374,52,3.78
333,50,3.78
595,146,3.77
1097,122,3.77
337,77,3.77
56367,65,3.77
1374,62,3.77
8641,57,3.77
4896,107,3.76
1641,56,3.76
49530,53,3.76
480,238,3.75
1527,116,3.75
3471,60,3.74
1466,52,3.74
2797,91,3.72
6333,76,3.72
62,80,3.71
6870,52,3.71
3160,52,3.71
3793,133,3.7
4022,100,3.7
1784,96,3.7
54286,81,3.7
2291,80,3.7
1625,77,3.7
5218,85,3.69
474,70,3.69
3421,62,3.69
3911,53,3.69
1923,105,3.68
51662,80,3.68
235,70,3.68
4979,68,3.68
3481,75,3.67
2000,75,3.67
11,70,3.67
2599,56,3.66
34,128,3.65
2916,88,3.65
1584,82,3.65
3052,79,3.65
52973,52,3.65
733,121,3.64
5445,120,3.64
2115,108,3.64
161,103,3.64
25,76,3.63
69122,76,3.63
4720,55,3.63
594,77,3.62
4246,65,3.62
6378,59,3.62
508,66,3.61
353,64,3.61
2640,61,3.61
1500,59,3.61
349,110,3.6
5816,102,3.6
72998,97,3.6
1393,85,3.59
4308,55,3.59
8360,92,3.58
3175,75,3.58
3527,61,3.58
1639,52,3.58
2987,97,3.57
2005,57,3.57
165,144,3.56
163,66,3.56
551,93,3.55
3751,78,3.55
440,76,3.55
35836,74,3.55
648,162,3.54
5349,122,3.54
1517,100,3.54
509,61,3.54
2395,56,3.54
225,52,3.54
377,171,3.53
454,101,3.53
3408,70,3.53
2572,54,3.53
357,103,3.52
2355,92,3.52
300,81,3.52
1302,56,3.52
5956,55,3.52
2011,87,3.51
45722,72,3.51
34162,58,3.51
70,55,3.51
4816,54,3.51
8464,50,3.51
380,178,3.5
10,132,3.5
368,74,3.5
1580,165,3.49
597,135,3.49
21,89,3.49
141,86,3.49
2353,67,3.49
8644,61,3.49
3994,73,3.48
3081,62,3.48
1127,62,3.48
56174,62,3.48
2321,61,3.48
3253,61,3.48
3033,59,3.48
539,106,3.47
339,98,3.47
2174,91,3.47
253,109,3.46
2671,56,3.46
2712,53,3.46
780,202,3.45
3753,68,3.45
596,60,3.45
2406,54,3.45
104,99,3.44
41566,62,3.44
53125,56,3.44
91500,54,3.44
59784,54,3.44
592,189,3.43
587,115,3.43
2,110,3.43
292,101,3.43
33493,78,3.43
2081,67,3.43
3948,91,3.42
1777,56,3.42
1721,140,3.41
1645,51,3.41
1370,68,3.4
266,68,3.4
6863,66,3.4
2080,55,3.4
500,144,3.39
329,108,3.39
708,58,3.39
350,57,3.39
316,140,3.38
2706,103,3.38
2012,88,3.37
1573,77,3.37
2985,70,3.37
2167,58,3.36
3489,53,3.36
45499,52,3.36
6365,96,3.35
48385,65,3.35
2657,63,3.34
1608,58,3.34
4370,56,3.34
2105,50,3.34
1676,80,3.33
736,123,3.32
6373,71,3.32
1101,83,3.3
39,104,3.29
33679,59,3.28
5299,60,3.27
552,61,3.26
2302,59,3.26
3,52,3.26
145,51,3.25
288,92,3.23
3717,61,3.22
2683,121,3.2
317,81,3.2
1407,70,3.2
7,54,3.19
367,157,3.18
2470,57,3.18
5502,63,3.17
5378,92,3.16
4447,64,3.16
6934,79,3.15
48,68,3.15
34048,50,3.15
1380,68,3.14
4018,54,3.14
520,69,3.13
2617,87,3.12
2100,51,3.12
2424,50,3.12
2628,140,3.11
786,64,3.11
410,84,3.1
2006,60,3.1
1391,86,3.09
442,81,3.09
653,65,3.09
168,54,3.08
231,133,3.06
370,58,3.06
1917,92,3.05
4025,64,3.05
8361,50,3.05
344,161,3.04
185,112,3.04
434,101,3.03
1485,74,3.03
1377,60,3.03
1552,59,3.03
95,84,3.02
586,116,3.0
30793,61,3.0
5459,61,2.96
485,53,2.93
153,137,2.92
3785,50,2.92
208,115,2.91
160,57,2.88
466,60,2.87
5481,65,2.85
158,62,2.81
784,54,2.81
2699,53,2.81
2710,64,2.8
2054,68,2.76
1544,67,2.75
19,88,2.73
788,82,2.73
3977,72,2.72
420,59,2.72
3623,77,2.71
673,53,2.71
172,53,2.68
173,62,2.67
432,55,2.65
435,63,2.42
2701,53,2.21
