movieId,title,genres,nb_votes,note_moyenne
318,"Shawshank Redemption, The (1994)",Crime|Drama,317,4.43
858,"Godfather, The (1972)",Crime|Drama,192,4.29
2959,Fight Club (1999),Action|Crime|Drama|Thriller,218,4.27
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,97,4.27
1276,Cool Hand Luke (1967),Drama,57,4.27
1221,"Godfather: Part II, The (1974)",Crime|Drama,129,4.26
904,Rear Window (1954),Mystery|Thriller,84,4.26
1213,Goodfellas (1990),Crime|Drama,126,4.25
48516,"Departed, The (2006)",Crime|Drama|Thriller,107,4.25
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204,4.24
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,149,4.24
912,Casablanca (1942),Drama|Romance,100,4.24
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,251,4.23
527,Schindler's List (1993),Drama|War,220,4.23
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,142,4.23
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,211,4.22
2329,American History X (1998),Crime|Drama,129,4.22
1208,Apocalypse Now (1979),Action|Drama|War,107,4.22
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,200,4.21
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,59,4.21
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,307,4.2
1193,One Flew Over the Cuckoo's Nest (1975),Drama,133,4.2
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,131,4.2
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,278,4.19
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,120,4.18
1225,Amadeus (1984),Drama,76,4.18
1199,Brazil (1985),Fantasy|Sci-Fi,59,4.18
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,57,4.18
356,Forrest Gump (1994),Comedy|Drama|Romance|War,329,4.16
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,279,4.16
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,136,4.16
